#rank|epoch|iteration_no|event_id|event_operation|device_us|cpu_us|time_range_start_us|time_range_end_us|time_range_duration_us|self_cpu_memory_usage|self_cpu_percent|self_cpu_time_total|self_cpu_time_total_str|self_cuda_memory_usage|self_cuda_time_total|self_device_memory_usage|self_device_time_total|self_device_time_total_str|sequence_nr|stack|thread|total_cpu_percent|total_device_percent|use_device
0|1|1|1|Memcpy HtoD (Pinned -> Device)|1392.89|0.00|1450.77|2843.66|1392.89|0.00|-1.00|0.00|0.000us|0.00|1392.89|0.00|1392.89|1.393ms|-1||1|-1.00|-1.00|cuda
0|1|1|2|Memcpy HtoD (Pinned -> Device)|0.80|0.00|2934.79|2935.59|0.80|0.00|-1.00|0.00|0.000us|0.00|0.80|0.00|0.80|0.800us|-1||1|-1.00|-1.00|cuda
0|1|1|3|Memset (Device)|0.61|0.00|290175.34|290175.95|0.61|0.00|-1.00|0.00|0.000us|0.00|0.61|0.00|0.61|0.608us|-1||1|-1.00|-1.00|cuda
0|1|1|4|Memset (Device)|0.45|0.00|290326.48|290326.93|0.45|0.00|-1.00|0.00|0.000us|0.00|0.45|0.00|0.45|0.448us|-1||1|-1.00|-1.00|cuda
0|1|1|5|Memcpy HtoD (Pageable -> Device)|0.29|0.00|290343.31|290343.60|0.29|0.00|-1.00|0.00|0.000us|0.00|0.29|0.00|0.29|0.288us|-1||1|-1.00|-1.00|cuda
0|1|1|6|Memcpy HtoD (Pageable -> Device)|0.32|0.00|290350.22|290350.54|0.32|0.00|-1.00|0.00|0.000us|0.00|0.32|0.00|0.32|0.320us|-1||1|-1.00|-1.00|cuda
0|1|1|7|Memcpy HtoD (Pageable -> Device)|0.29|0.00|290354.83|290355.12|0.29|0.00|-1.00|0.00|0.000us|0.00|0.29|0.00|0.29|0.288us|-1||1|-1.00|-1.00|cuda
0|1|1|8|Memcpy HtoD (Pageable -> Device)|0.32|0.00|290359.18|290359.50|0.32|0.00|-1.00|0.00|0.000us|0.00|0.32|0.00|0.32|0.320us|-1||1|-1.00|-1.00|cuda
0|1|1|9|Memset (Device)|0.48|0.00|290488.46|290488.94|0.48|0.00|-1.00|0.00|0.000us|0.00|0.48|0.00|0.48|0.480us|-1||1|-1.00|-1.00|cuda
0|1|1|10|Memset (Device)|0.51|0.00|290644.91|290645.42|0.51|0.00|-1.00|0.00|0.000us|0.00|0.51|0.00|0.51|0.512us|-1||1|-1.00|-1.00|cuda
0|1|1|11|Memset (Device)|0.48|0.00|290775.24|290775.72|0.48|0.00|-1.00|0.00|0.000us|0.00|0.48|0.00|0.48|0.480us|-1||1|-1.00|-1.00|cuda
0|1|1|12|Memcpy HtoD (Pageable -> Device)|0.32|0.00|290785.39|290785.71|0.32|0.00|-1.00|0.00|0.000us|0.00|0.32|0.00|0.32|0.320us|-1||1|-1.00|-1.00|cuda
0|1|1|13|Memcpy HtoD (Pageable -> Device)|0.32|0.00|290793.55|290793.87|0.32|0.00|-1.00|0.00|0.000us|0.00|0.32|0.00|0.32|0.320us|-1||1|-1.00|-1.00|cuda
0|1|1|14|Memcpy HtoD (Pageable -> Device)|0.32|0.00|290799.09|290799.41|0.32|0.00|-1.00|0.00|0.000us|0.00|0.32|0.00|0.32|0.320us|-1||1|-1.00|-1.00|cuda
0|1|1|15|Memcpy HtoD (Pageable -> Device)|0.29|0.00|290802.89|290803.18|0.29|0.00|-1.00|0.00|0.000us|0.00|0.29|0.00|0.29|0.288us|-1||1|-1.00|-1.00|cuda
0|1|1|16|Memset (Device)|0.45|0.00|290940.30|290940.75|0.45|0.00|-1.00|0.00|0.000us|0.00|0.45|0.00|0.45|0.449us|-1||1|-1.00|-1.00|cuda
0|1|1|17|Memset (Device)|1.54|0.00|291243.37|291244.91|1.54|0.00|-1.00|0.00|0.000us|0.00|1.54|0.00|1.54|1.536us|-1||1|-1.00|-1.00|cuda
0|1|1|18|Memset (Device)|0.45|0.00|291376.68|291377.13|0.45|0.00|-1.00|0.00|0.000us|0.00|0.45|0.00|0.45|0.448us|-1||1|-1.00|-1.00|cuda
0|1|1|19|Memcpy HtoD (Pageable -> Device)|0.32|0.00|291391.79|291392.11|0.32|0.00|-1.00|0.00|0.000us|0.00|0.32|0.00|0.32|0.320us|-1||1|-1.00|-1.00|cuda
0|1|1|20|Memcpy HtoD (Pageable -> Device)|0.29|0.00|291630.92|291631.21|0.29|0.00|-1.00|0.00|0.000us|0.00|0.29|0.00|0.29|0.288us|-1||1|-1.00|-1.00|cuda
0|1|1|21|Memcpy HtoD (Pageable -> Device)|0.32|0.00|291636.84|291637.16|0.32|0.00|-1.00|0.00|0.000us|0.00|0.32|0.00|0.32|0.320us|-1||1|-1.00|-1.00|cuda
